RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,u_uid,r_rid
80746,16690,117961,118446,119064,122022,131302,119221,122024,50,46
80263,36145,117961,118052,120304,307024,311622,118331,118332,51,47
73753,70062,117961,118386,118746,117905,117906,290919,117908,52,48
39883,7551,117961,118052,118867,117905,172635,290919,117908,53,49
25993,7023,117961,117962,119223,118259,118260,290919,118261,54,6
78106,50613,117916,118150,118810,118568,159905,19721,118570,55,50
33150,1915,117961,118300,119181,118784,117906,290919,118786,56,51
34817,5899,117961,118327,120318,118641,240982,118643,118644,57,52
28354,3860,117961,118446,120317,118321,117906,290919,118322,58,53
33642,13196,117951,117952,117941,117879,117897,19721,117880,59,54
26430,56310,118212,118580,117895,117896,117913,117887,117898,60,55
28149,50120,91261,118026,119507,118321,117906,290919,118322,61,56
40867,6736,117961,117969,6725,122290,268766,6725,122292,62,57
20293,273476,117926,118266,117920,118568,310732,19721,118570,63,58
36020,2163,118219,118220,120694,118777,130218,308574,118779,64,59
60006,16821,117961,118225,120535,118396,269406,118398,118399,65,60
35043,14800,117961,117962,118352,118784,117906,290919,118786,66,61
17308,4088,117961,118300,118458,118728,223125,118295,118730,67,62
15716,18073,118256,118257,118623,118995,286106,292795,118997,68,63
39883,55956,118555,118178,119262,117946,119727,292795,117948,69,49
42031,88387,118315,118463,118522,119172,121927,118467,119174,70,64
27124,2318,117961,118327,118933,117905,117906,290919,117908,71,65
35498,18454,117961,118343,119598,125171,257115,118424,125173,72,66
79168,58465,118602,118603,117941,117885,119621,117887,117888,73,67
2252,782,117961,118413,127522,118784,240983,290919,118786,74,68
45652,7338,117961,118225,119924,118321,118448,290919,118322,75,69
23921,4145,117961,118300,120026,307024,303717,118331,118332,76,28
95247,50690,118269,118270,117878,118568,118568,19721,118570,77,70
78844,15645,117961,118052,122392,128903,160695,292795,128905,78,71
19481,10627,118106,118107,119565,179731,155780,117887,117973,79,72
18380,44022,117961,117962,122215,127782,130085,290919,127783,80,73
37734,58406,117975,117976,117884,117885,117913,117887,117888,81,74
3853,17550,117961,118446,118684,118321,117906,290919,118322,82,75
278393,7076,117961,118225,120323,119093,136840,119095,119096,83,76
35625,6454,117961,118343,118856,117905,240983,290919,117908,84,77
35066,17465,91261,118026,118202,118278,118260,290919,118279,85,78
3853,5043,117961,118300,118458,120006,310997,118424,120008,86,75
41569,16671,117961,118052,118706,118523,310608,118331,118525,87,79
25862,46224,117961,118327,118378,120952,143223,118453,120954,88,80
75078,45963,117961,118386,118896,122645,309858,119221,122647,89,81
1020,1483,117961,117962,118840,118641,306399,118643,118644,90,22
22956,3967,117961,118052,118706,118321,117906,290919,118322,91,82
20364,2612,117961,118386,123901,117905,117906,290919,117908,92,83
28943,7547,117961,118052,118933,118784,213944,290919,118786,93,84
75329,17414,118752,119070,118042,118043,151099,270488,118046,94,85
41569,70066,91261,118026,118202,117905,117906,290919,117908,95,79
4684,50806,117961,118446,119961,118259,118260,290919,118261,96,86
77943,4478,117961,118386,118692,118321,117906,290919,118322,97,87
38860,15541,118573,118574,118556,280788,127423,292795,119082,98,88
74142,2371,117961,117962,118501,120702,308462,118504,120704,99,89
58928,17091,117961,118225,118403,118054,287351,117887,118055,100,90
79309,17128,117961,118300,119984,118396,300044,118398,118399,101,91
36480,15510,118169,118170,118171,130479,185784,119784,130481,102,92
16591,44053,117961,117962,117904,119949,123170,290919,119951,103,93
77429,14810,117961,118413,120370,118321,117906,290919,118322,104,94
80550,5659,117961,118300,124725,118321,117906,290919,118322,105,95
25814,1065,117961,118327,121589,118641,306399,118643,118644,106,96
15805,4438,117961,118386,121668,118777,279443,308574,118779,107,97
73756,3371,117902,118041,118042,118043,118044,270488,118046,110,99
90518,7252,117961,117962,118352,117905,117906,290919,117908,111,100
80501,19717,117961,117962,118352,118321,117906,290919,118322,112,101
81480,96704,117910,117911,117884,117879,117886,19721,117880,113,102
79021,5568,121785,121786,118492,132692,174445,270488,132694,115,104
33642,50323,117980,117981,117941,118568,281735,19721,118570,116,54
23553,20899,117961,118340,117970,179731,179731,117887,117973,117,105
42085,5715,91261,118026,119362,119363,307210,118667,119365,118,106
38655,17614,117902,118041,118042,118043,118044,270488,118046,119,107
25330,19702,118269,118270,117878,117879,117879,19721,117880,120,108
1098,6993,117961,118343,118514,117905,240983,290919,117908,121,109
23096,29762,117961,118052,120398,122067,130238,118424,122069,122,110
34433,50976,117961,118413,119968,117905,117906,290919,117908,123,111
78607,7560,117961,118343,119181,118321,117906,290919,118322,124,112
79121,225257,120342,120343,119076,118422,124426,118424,118425,125,113
42347,98689,117902,117903,132530,117905,117906,290919,117908,126,114
34575,4013,117961,118300,118514,118321,240983,290919,118322,127,115
19730,4311,119062,119091,118514,118777,279443,308574,118779,128,116
103462,15413,117961,118343,120270,311867,130382,118478,118479,129,117
39262,51748,118315,118316,225010,118685,279443,308574,118687,130,118
16333,111936,117961,118300,118783,117905,240983,290919,117908,21,119
75787,15387,117887,118178,118575,119849,212678,118638,119851,132,121
45790,1215,117961,118327,120171,118863,126488,118398,118865,133,122
73752,70062,117961,118386,118746,117905,117906,290919,117908,52,124
6964,5432,117961,118327,118391,118641,123881,118643,118644,135,125
25231,1216,117902,117903,118507,119529,205305,119006,119531,136,126
34633,4264,118887,118888,118979,118980,199144,118295,118982,137,127
24015,14731,117961,118446,118447,119346,302830,4673,119348,139,129
75813,75640,118315,118463,119214,118321,117906,290919,118322,140,130
30628,7987,117961,118327,120383,118321,149826,290919,118322,142,132
4675,17394,117961,118413,122007,118321,117906,290919,118322,143,10
45444,124899,117961,118327,120171,118890,182227,118398,118892,144,133
32997,2286,117902,117903,277693,117905,117906,290919,117908,146,134
31613,7629,117961,118327,120383,118784,213944,290919,118786,147,40
6302,50581,118114,118115,117884,117885,117913,117887,117888,149,135
79850,4004,117961,118343,118856,117905,117906,290919,117908,150,136
79647,5360,117961,118446,122550,118321,117906,290919,118322,151,137
7678,15417,117961,119256,119257,126684,130913,292795,126685,152,138
4675,49577,117961,118327,118933,118784,200462,290919,118786,153,10
77977,3811,120864,121013,118395,118396,269406,118398,118399,154,139
44812,5432,117961,118327,118391,118784,117906,290919,118786,155,140
80472,120822,119596,119597,120823,120647,311441,118398,120649,156,141
14570,23304,117961,118327,124921,137969,271378,118612,137970,157,37
43519,6890,117961,118446,120317,117905,117906,290919,117908,158,142
75834,8343,119301,119302,119303,117905,120828,290919,117908,159,143
98054,36,117961,118413,119968,118321,117906,290919,118322,160,144
80222,44038,117902,117903,118910,119346,302830,4673,119348,161,145
31299,3118,117961,118300,118458,120789,309123,118424,120791,162,146
19722,4511,117961,118300,119181,118321,117906,290919,118322,164,148
1937,6216,117961,118327,118328,130857,161026,308574,130858,165,149
75901,4945,117961,118300,118360,119849,148676,118638,119851,166,150
20312,18044,117961,118386,118522,118321,117906,290919,118322,168,151
4675,71189,117961,118386,128823,118259,125206,290919,118261,169,10
40919,38364,118315,118316,118464,130857,156150,308574,130858,170,152
74242,7398,117961,118225,118616,117905,240983,290919,117908,171,153
80215,217,117961,118413,120370,118321,240983,290919,118322,172,154
29058,3651,119062,119091,123125,124152,300136,118424,124154,173,155
79092,25557,117961,118300,121951,128422,130134,118453,128424,174,156
15913,2061,117961,118327,120383,118641,120319,118643,118644,175,157
25098,2003,118441,118442,118378,118054,121603,117887,118055,176,158
25312,69981,118595,118596,118706,118172,130384,249618,118175,177,159
79092,70264,117961,118343,118437,124435,118362,118363,124436,179,156
44644,50997,117961,118052,120539,118321,118448,290919,118322,180,161
86292,8715,117961,118052,119986,118321,117906,290919,118322,181,162
4675,8563,117961,118300,118783,117905,117906,290919,117908,182,10
34580,1398,117961,118300,120722,118784,130735,290919,118786,42,163
18913,273476,117926,118266,117920,118568,310732,19721,118570,63,164
80780,4272,117961,118343,120666,123045,123107,120518,123047,184,166
44976,7691,118555,118178,117945,117946,119114,292795,117948,185,167
41235,59000,118181,118182,117941,118568,292195,19721,118570,186,168
7543,6257,117961,118343,120722,118784,117906,290919,118786,187,169
3853,20560,117876,117877,117878,117879,117879,19721,117880,188,75
34396,34375,117961,117969,189629,179731,123099,117887,117973,189,170
41643,13854,117961,118052,118821,118278,117906,290919,118279,190,171
80057,7084,117961,118386,121961,118318,130278,118205,118319,191,172
38964,4341,117961,118343,118957,118321,117906,290919,118322,192,173
16619,14731,117961,118446,118447,121594,170665,4673,121596,193,174
4675,4362,118212,118213,126955,118685,120316,308574,118687,194,10
79228,13400,117983,117984,117878,117879,117879,19721,117880,195,175
36480,15541,118573,118574,118556,280788,127423,292795,119082,98,92
20279,50625,117916,118150,117884,117885,117913,117887,117888,196,45
42873,4590,117961,118343,118395,123067,269406,118398,123068,197,176
37942,11439,117935,117936,117878,117885,117913,117887,117888,198,177
36674,14633,118106,118107,117884,117879,117886,19721,117880,199,178
25831,55161,118752,119070,118754,119885,118806,118474,119887,200,179
35196,16643,119134,119135,118701,119587,284481,118704,119589,201,180
39518,7822,117961,118327,118492,118777,174445,308574,118779,202,181
41649,4084,117961,118052,118992,118321,117906,290919,118322,203,182
7543,4554,117961,118300,118514,118259,118260,290919,118261,204,169
75078,75114,118315,118463,118522,307024,294485,118331,118332,205,81
16153,79105,119062,119063,124211,120516,123107,120518,120519,206,183
33155,1915,117961,118300,119181,118784,117906,290919,118786,56,184
7543,23144,117961,118225,118403,120690,120690,290919,120692,207,169
42942,5235,120864,121013,121961,118523,246167,118331,118525,208,185
20292,50448,117926,118124,117884,117879,117886,19721,117880,210,186
42031,2071,117961,118386,118501,118502,130777,118504,118505,211,64
6914,5518,117961,118300,118514,118259,132715,290919,118261,212,187
75834,21033,117961,118300,123749,118777,279443,308574,118779,213,143
39233,5659,117961,118300,124725,117905,117906,290919,117908,214,188
40867,87910,91261,118026,119507,118278,118260,290919,118279,215,57
25213,1311,117961,117962,118910,118451,123503,118453,118454,216,189
55554,1448,117902,117903,120722,117905,117906,290919,117908,217,190
75078,3230,117961,118386,121961,120348,249620,118295,120350,218,81
31299,1605,117961,118327,128935,149337,205238,118398,149339,219,146
79948,4932,117961,118225,119824,123737,147851,118960,123738,220,191
78845,81794,117961,118052,119972,122551,159682,118762,122552,221,192
38470,72734,118079,118080,117878,117885,118177,117887,117888,222,193
45976,16527,91261,118026,118202,118321,117906,290919,118322,223,194
74818,4274,117961,118327,118744,120591,183734,119095,120593,224,195
70452,13401,117980,117981,118246,179731,141712,117887,117973,225,196
40438,17640,117961,118052,118706,118318,120689,118205,118319,226,197
20279,72322,117916,118011,117884,117885,117913,117887,117888,227,45
967,2855,118169,118170,119262,117946,125711,292795,117948,228,198
36772,51491,118074,23779,117884,117879,117886,19721,117880,229,199
43431,120000,117961,118225,119136,120056,255657,118474,120058,230,200
4675,69637,119062,119091,118535,117905,117906,290919,117908,231,10
25993,4933,117961,118300,118458,307024,301218,118331,118332,232,6
25231,1038,118887,118888,118889,118863,307233,118398,118865,233,126
6977,5697,117961,118386,118692,118784,117906,290919,118786,234,39
99461,1088,117961,118327,119830,117905,117906,290919,117908,235,201
42881,1988,117961,118446,16232,117905,117906,290919,117908,236,202
80973,15746,117961,118052,119742,118321,118448,290919,118322,237,203
17825,13836,119920,119921,142145,128230,302830,4673,128231,238,204
43876,58954,118079,118080,117878,117885,118177,117887,117888,239,205
74161,7586,117961,118225,118403,118321,117906,290919,118322,240,131
24890,3692,117961,118413,126229,121594,207709,4673,121596,241,206
6977,70056,117961,118225,118403,118777,279443,308574,118779,242,39
107225,15389,117961,118225,122870,119928,129017,118331,119929,243,207
44909,4659,117961,118225,120663,118784,147114,290919,118786,244,208
74283,25618,117961,118327,118320,118523,310608,118331,118525,245,209
34075,221,117961,118413,120370,118321,118448,290919,118322,246,210
75078,46608,118315,118463,122636,120773,123148,118960,120774,12,81
27416,1549,118084,118085,117920,118129,132803,118131,118132,249,213
74347,33266,117961,118300,123719,117905,240983,290919,117908,250,214
21751,56199,117961,118052,118881,117905,117906,290919,117908,251,215
73562,13845,117961,117962,120526,118784,310608,290919,118786,252,216
29304,98229,117975,117976,117884,117879,117886,19721,117880,253,217
39353,85475,117961,118300,120410,118784,117906,290919,118786,254,0
25744,6225,117961,118343,120722,118784,117906,290919,118786,255,218
78816,6216,117961,118052,118328,124886,306399,118643,124888,256,219
38714,3692,117961,118413,120370,121594,170665,4673,121596,257,220
38840,7915,117961,118300,118597,118834,127160,118424,118836,258,221
39395,49423,117961,118052,123144,118396,269406,118398,118399,259,222
1003,7220,117961,118225,120551,117905,186454,290919,117908,260,223
34886,4639,117961,118343,118856,118278,117906,290919,118279,261,224
4675,13871,117961,118300,118514,118321,240983,290919,118322,262,10
42093,70128,118595,118596,81476,118834,153821,118424,118836,263,211
16301,217,117961,118413,120370,118321,117906,290919,118322,265,225
42976,4713,117961,118052,120398,120344,311360,118424,120346,266,226
27416,50601,117916,117917,117941,117879,117886,19721,117880,268,213
98033,4549,117961,118225,120050,117905,117906,290919,117908,269,229
18072,57715,117961,118446,118701,118702,129679,118704,118705,270,230
44592,7081,117961,118225,119924,118685,120316,308574,118687,271,231
22481,30533,91261,118026,119507,123648,123107,120518,123650,272,232
80473,6454,117961,118343,118856,120773,165589,118960,120774,273,233
79121,55119,119062,119091,123125,134095,300136,118474,118475,274,113
41594,91342,117961,118327,118933,209874,311622,308574,209875,275,234
75338,8280,118212,118580,117895,117896,117897,117887,117898,276,235
15922,123020,117961,118300,118514,118321,117906,290919,118322,277,236
16333,7021,117961,118300,118783,118784,287626,290919,118786,278,119
42972,49323,118990,118991,118992,118321,117906,290919,118322,279,237
80202,3000,117961,118225,120551,118321,118448,290919,118322,280,238
917,5313,117961,118386,120356,120357,201020,118424,120359,281,239
45481,17270,117961,118300,128830,118826,150790,118424,118828,282,240
6094,15015,117961,118413,122007,118321,117906,290919,118322,283,241
45035,61948,118163,118164,117878,117879,208308,19721,117880,284,242
302049,2685,122880,122974,117945,117946,149467,292795,117948,285,243
79299,17059,117902,118041,118556,118274,119248,292795,118276,286,244
28294,4100,118290,118291,124668,119928,278266,118331,119929,287,245
32270,5178,117961,118343,118660,118826,158101,118424,118828,288,41
4684,60121,121785,121786,119922,118784,203564,290919,118786,289,86
79092,7212,117961,118300,124725,118784,117906,290919,118786,290,156
98464,53208,118602,118603,118810,310825,149047,117887,121395,292,246
40189,5210,117961,118343,119598,119433,133686,118424,119435,294,247
37793,1923,117902,117903,118783,117905,117906,290919,117908,295,248
16997,15945,118290,118291,121617,124799,152247,121620,124801,296,249
80674,49453,117961,118343,118660,118912,309291,118424,118914,297,250
77178,3225,117961,118327,118929,118321,117906,290919,118322,299,252
32270,18236,117961,118052,120304,122297,301475,118331,118899,300,41
17795,54684,117961,117962,118910,118777,279443,308574,118779,301,253
14570,57816,118219,118220,118810,118811,128802,19793,118813,302,37
15064,2363,117961,117962,141383,118368,118368,117887,118486,303,254
42919,6222,117961,118052,118746,117905,117906,290919,117908,304,255
17308,5043,117961,118300,118458,118523,129545,118331,118525,305,62
30999,2942,117961,118343,118700,118784,117906,290919,118786,306,256
3853,4716,118290,118291,120026,120344,165069,118424,120346,307,75
75834,49384,117961,118343,118609,118728,301534,118295,118730,308,143
34536,55941,117961,118327,122109,117905,117906,290919,117908,309,257
4675,58719,117961,118386,119954,118318,168365,118205,118319,310,10
79092,108732,119062,119091,118684,122989,131688,119006,122991,311,156
915,770,117961,118300,120722,118451,142600,118453,118454,312,258
27082,141,117961,118225,122273,117905,240983,290919,117908,313,259
23921,17261,117961,118343,118833,118054,124356,117887,118055,314,28
79092,6454,117961,118343,118856,118321,117906,290919,118322,316,156
15361,27,117961,118413,120370,118321,117906,290919,118322,318,263
971,4219,117961,118300,120312,120313,157234,118424,120315,319,264
73112,27104,117961,118327,118507,118054,120716,117887,118055,320,265
3853,114489,117961,118413,119968,118784,117906,290919,118786,321,75
34498,4125,118887,118888,121108,120006,311746,118424,120008,322,266
18394,14855,117961,118300,123719,118451,153802,118453,118454,323,267
20349,25813,117961,118300,118066,120988,213772,118643,120989,324,123
77343,2858,118219,118220,118344,127847,128352,118347,127848,325,268
25993,1409,117961,118300,118437,118321,117906,290919,118322,326,6
39511,4118,117876,117877,117878,118568,292195,19721,118570,327,269
20303,718,117961,118300,119181,118259,126363,290919,118261,328,270
34950,91342,117961,118327,118933,307024,311622,118331,118332,329,271
79121,4736,117961,118300,118301,307024,204593,118331,118332,330,113
74343,52105,118595,118596,81476,118422,170384,118424,118425,331,272
3853,49302,117961,118343,118514,118321,240983,290919,118322,333,75
77203,15621,117961,119256,120943,126684,126684,292795,126685,335,275
16495,26009,117961,118446,119986,118777,279443,308574,118779,336,276
38655,4993,117961,118300,118979,118912,309291,118424,118914,337,107
107522,25262,117961,118327,118320,123067,137949,118398,123068,338,277
4675,23339,117961,118300,118783,118321,118406,290919,118322,339,10
34073,217,117961,118413,120370,118321,117906,290919,118322,265,278
80685,17694,117961,118343,119598,117905,117906,290919,117908,340,279
81261,5496,91261,118026,118202,117905,117906,290919,117908,341,280
108223,4474,117961,118446,119064,117905,117906,290919,117908,342,281
90526,3889,117961,118386,121883,117905,117906,290919,117908,343,282
45089,1475,91261,118026,118450,118641,123881,118643,118644,344,283
52683,56007,117980,118076,117912,118568,117886,19721,118570,345,284
34026,5456,117961,118225,118403,118321,117906,290919,118322,346,285
42031,92216,118315,118316,120764,118465,175082,118467,118468,347,64
34628,2034,117961,118052,118328,299559,118204,118205,163732,348,286
13878,12456,117935,117936,117878,117879,117879,19721,117880,349,36
33616,8234,117961,118300,118783,117905,117906,290919,117908,350,288
4675,111936,117961,118300,118783,118784,117906,290919,118786,352,10
84071,15746,117961,118052,119742,118321,117906,290919,118322,353,289
80160,6482,117961,118052,118821,118321,117906,290919,118322,354,290
38482,350,118216,118217,117941,117885,117913,117887,117888,355,291
82277,7278,91261,118026,118202,118321,117906,290919,118322,356,292
32270,25293,117961,118386,123072,121414,130802,118704,121416,357,41
18293,17787,118114,118115,118846,179731,140758,117887,117973,358,293
80540,3119,117961,118300,120312,119849,236236,118638,119851,359,294
42713,19642,117961,118413,118481,118321,117906,290919,118322,360,295
256,6440,118216,118217,117941,118568,281735,19721,118570,361,296
33111,3000,117961,118225,120551,117905,240983,290919,117908,362,297
36429,77306,119280,119281,117945,280788,280788,292795,119082,364,299
3066,770,117961,118300,120722,118747,130134,118453,118749,365,300
42085,17058,117961,118300,119488,118728,301534,118295,118730,366,106
72191,16243,117961,118327,118933,118841,128747,118643,118843,367,301
34958,2061,117961,118327,120383,118641,306399,118643,118644,368,302
74627,14349,118976,118977,117895,117879,118250,19721,117880,369,303
91620,19760,117961,117962,118352,118321,117906,290919,118322,371,305
4685,47,119920,119921,176153,117905,117906,290919,117908,372,306
25322,123367,117932,117933,117878,117879,117897,19721,117880,373,307
80536,3656,117961,118300,118631,118924,153285,118667,118926,374,308
77951,96511,117922,117923,118810,122927,121125,118131,122929,375,309
32270,23225,117961,118300,119984,120647,311441,118398,120649,376,41
77295,56137,117961,118327,118862,118396,269406,118398,118399,377,310
31441,16972,118887,118888,119987,119849,240725,118638,119851,378,311
43876,56596,118079,118080,117878,117879,304519,19721,117880,379,205
34924,25262,117961,118327,118320,118685,310608,308574,118687,380,312
25990,4263,121785,121786,119142,118321,117906,290919,118322,381,313
38713,15612,117902,118041,118556,280788,280788,292795,119082,382,314
15915,54248,117961,118327,120559,120618,304465,118643,120619,383,315
45990,7705,117887,118178,117945,259173,141966,292795,118943,384,316
17308,72287,126918,126919,118042,118043,118043,270488,118046,385,62
80193,1325,117961,117969,118910,118054,118054,117887,118055,386,317
25279,15390,117961,118300,118301,120344,311360,118424,120346,387,318
79562,13876,117961,118386,118404,118841,240982,118643,118843,388,319
18418,6732,117961,117969,6725,120527,275449,6725,120529,389,320
80874,4589,117961,118327,120383,117905,240983,290919,117908,390,321
73756,2685,122880,122974,117945,117946,149467,292795,117948,285,99
29697,19956,117961,118327,274241,118777,133772,308574,118779,391,322
78185,15683,117961,118300,118957,118777,279443,308574,118779,392,323
34156,3692,117961,118413,126229,128230,302830,4673,128231,393,324
7678,17059,117902,118041,117945,259173,191237,292795,118943,394,138
76545,3558,117902,118041,118042,118043,118044,270488,118046,395,325
44641,5320,118290,118291,119598,120344,260942,118424,120346,396,326
80368,5140,119062,119091,121710,117905,117906,290919,117908,397,327
41594,3225,117961,118327,118929,118685,279443,308574,118687,398,234
42085,22458,117961,117962,120677,307024,306404,118331,118332,399,106
26437,56310,118212,118580,117895,117896,117913,117887,117898,60,329
40997,19286,117961,118225,121716,118636,310589,118638,118639,401,330
43431,18185,117961,118225,129617,121414,269394,118704,121416,402,200
33111,4542,117961,118225,120551,128230,302830,4673,128231,403,297
43280,3281,117961,118225,119238,122849,120324,119095,122850,404,331
75834,1912,119134,119135,118042,117896,287998,117887,117898,405,143
102270,111936,117961,118300,118783,117905,117906,290919,117908,406,332
34865,3722,117961,118300,120059,119849,124718,118638,119851,407,333
23921,4821,117961,118343,119598,118980,304760,118295,118982,408,28
23096,17598,117961,118300,118631,135809,176829,118331,135811,409,110
39879,55642,118256,118257,117945,118995,118806,292795,118997,411,335
74466,7398,117961,118225,119924,118321,117906,290919,118322,412,336
4675,4567,117961,118300,118514,118318,168365,118205,118319,413,10
22282,19697,117935,117936,117878,117885,117937,117887,117888,414,337
45338,2378,117876,117877,117878,247659,163031,19721,247660,415,338
41495,7539,117961,118343,119987,118321,117906,290919,118322,416,339
39932,2819,119062,119091,120410,118028,310589,117887,118030,417,340
16421,4584,117961,118300,120297,117905,117906,290919,117908,419,341
107802,4511,117961,118300,119181,118784,117906,290919,118786,420,342
41325,14810,117961,118413,120370,117905,117906,290919,117908,421,343
28294,7519,91261,118026,118202,118784,124402,290919,118786,422,245
29697,49096,118212,159716,118378,120952,159717,118453,120954,423,322
15018,133801,119062,119091,118535,117905,117906,290919,117908,424,344
74302,55636,117916,118011,117920,119192,139264,119184,119194,425,345
78882,52056,118212,118213,119734,153957,153958,118667,153959,427,346
42019,4362,117961,118343,126955,118777,279443,308574,118779,428,347
74310,7579,117961,118300,120722,118685,123004,308574,118687,429,38
33993,30527,117961,118225,120551,119928,127692,118331,119929,430,348
19722,8074,117961,118300,119181,118321,117906,290919,118322,431,148
6977,25607,117961,118343,118856,118259,125889,290919,118261,432,39
20292,27891,117926,117927,117920,124313,124314,120134,124315,433,186
25964,214,117961,118343,6104,118321,117906,290919,118322,434,349
33232,4378,117961,118327,118507,118054,120238,117887,118055,436,351
90436,5244,117961,118343,119598,117905,117906,290919,117908,438,353
14960,58476,117929,117930,117920,117885,117913,117887,117888,439,354
33149,1350,117961,118052,120096,118321,117906,290919,118322,440,355
45974,51740,118752,119070,119121,280788,130913,292795,119082,441,356
5173,46526,117961,118300,119984,118396,269406,118398,118399,442,357
18605,15406,117961,118225,118403,118054,118054,117887,118055,443,358
6977,3032,118212,118213,123201,117905,125206,290919,117908,444,39
681,89939,117961,118413,122007,128230,302830,4673,128231,445,359
87082,18220,117961,118052,118867,118321,117906,290919,118322,446,360
39879,5570,117961,119256,119257,117946,118806,292795,117948,447,335
20351,2113,117951,117952,117920,118568,124610,19721,118570,449,362
74195,4566,119062,119091,118992,179731,117906,117887,117973,450,363
40420,49987,118090,118091,117920,118568,133542,19721,118570,452,364
23702,4554,117961,118300,118514,118259,118260,290919,118261,204,365
100514,3838,117961,118225,119924,118321,117906,290919,118322,453,366
79121,5046,117961,118052,120356,126516,300136,118612,126518,456,113
20294,53396,117916,118150,117920,118568,281735,19721,118570,457,368
6055,23305,117961,118327,118862,118890,125128,118398,118892,459,369
41296,4638,117961,118343,119987,119172,256190,118467,119174,460,370
38480,31061,118212,118580,117895,117896,117897,117887,117898,461,371
75787,15387,118555,118178,118575,119849,212678,118638,119851,462,121
4675,97016,119062,119091,118957,118278,118260,290919,118279,463,10
79813,49323,118990,118991,118992,118321,117906,290919,118322,279,372
15907,782,117961,118413,277693,117905,117906,290919,117908,464,373
18332,13411,118023,118024,118810,122952,305581,19793,122954,465,374
42093,7858,91261,118026,119362,119363,307210,118667,119365,466,211
80515,3085,117961,118300,125821,118834,251171,118424,118836,467,375
83226,23338,117961,118052,118867,122129,270992,121916,122131,468,376
35376,18686,117961,118386,128823,117905,290919,290919,117908,469,228
6170,1437,118212,118213,118437,118636,192211,118638,118639,470,377
34480,5238,118290,118291,118053,132692,134889,270488,132694,471,378
4675,2944,117961,118343,119796,119743,132775,3130,119745,472,10
36646,27873,117978,117979,117884,117879,117886,19721,117880,473,379
3853,51235,120864,121013,124133,120344,303717,118424,120346,474,75
73214,782,117961,118413,127522,118784,124402,290919,118786,475,380
19944,15993,117961,117969,121617,131849,149815,121620,131851,476,381
38725,7505,117961,118300,119195,117905,117906,290919,117908,477,382
20897,7492,117961,118225,117963,118811,286597,19793,118813,478,383
