PERSON_BUSINESS_TITLE,PERSON_BUSINESS_TITLE_DETAIL,PERSON_COMPANY,PERSON_DEPTNAME,PERSON_ID,PERSON_JOB_CODE,PERSON_JOB_FAMILY,PERSON_MGR_ID,PERSON_ROLLUP_1,PERSON_ROLLUP_2,PERSON_ROLLUP_3,RESOURCE_ID,u_uid,r_rid
44117,8,33290,37386,62826,33431,33968,36208,33426,33853,33428,7489,55,7
33518,8,33290,33477,59878,33431,33430,59147,33299,33866,33301,9001,56,2
62525,34383,33290,35410,75460,33289,33526,40235,33283,34411,33285,7489,57,7
49063,8,33290,36137,70231,33289,33291,37653,33283,33300,33285,9001,58,2
63013,8,33290,54321,66540,33431,33430,49609,33357,33458,33359,7489,62,7
68585,8,33313,33477,59981,33431,33423,34156,2,35884,4,7489,63,7
34496,8,33408,39171,60885,33289,33739,37919,33426,33675,33428,9667,64,4
33478,8,33290,34483,68491,33431,33430,39910,33283,33447,33341,7489,65,7
33691,8,33290,37014,51329,9,33430,33437,33316,34024,33317,9667,67,4
55717,8,33290,38624,54147,33431,33461,34248,33283,33323,33285,9001,68,2
67403,33421,37028,33798,67872,33431,35276,49318,33416,33689,33418,9667,74,4
40456,8,33290,34472,43053,33431,33461,42775,33416,36963,33418,7489,79,7
33336,8,33313,33279,78009,33275,11,41562,2,3,4,9771,81,14
74523,8,33290,34131,70941,9,33430,35658,33316,33447,33317,7489,83,7
59360,8,33290,33477,51924,33431,33430,37141,33339,33476,33341,7489,84,7
47060,8,33290,33866,44446,33345,33430,42957,33299,35013,33359,9001,85,2
50039,8,33290,37014,49525,33289,33604,34802,33316,33385,33317,7489,86,7
38779,8,33290,37014,73227,9,33430,45847,33316,34024,33317,9667,88,4
58371,36228,33290,35516,65588,33431,33291,39552,33283,36150,33285,7489,89,7
37592,8,33290,37014,70454,33431,33430,55001,33316,34024,33317,7489,90,7
36408,8,33290,34063,67660,33431,33347,40411,33316,34256,33317,2999,94,34
74708,8,33290,34483,51329,33345,34539,46852,33316,33447,33317,9667,95,4
37018,8,34474,34398,52657,33431,33362,41562,33299,34471,33301,9001,97,2
41533,8,33290,36661,56710,33289,34435,34565,33283,33300,33285,9001,98,2
60017,8,33290,33360,39029,33326,33423,53401,33357,33358,33359,7489,100,7
43754,8,33290,34611,44716,9,33423,61223,33283,34327,33285,9667,101,4
60704,8,33290,33524,53819,33431,33430,65991,33416,33458,33418,9667,103,4
33336,8,33313,33279,75066,33275,11,33825,2,3,4,9771,104,14
66967,8,33290,33517,39029,33431,33362,34565,33416,35884,33418,9667,106,4
44741,8,33290,33769,34325,33289,33657,35959,33283,33300,33285,9001,107,2
59429,8,33290,39855,41518,33431,34851,56674,33283,36494,33285,9001,108,2
52258,8,33290,35835,49066,33289,33678,33786,33316,33385,33317,9667,110,4
45748,59684,34913,38624,75374,33431,34851,68773,33283,40641,33359,9001,113,2
33308,8,33313,33438,76669,33309,11,56198,2,3,4,9771,115,14
37080,8,33290,34662,75136,33289,33291,38854,33283,33300,33285,9001,116,2
33336,8,33313,33279,77828,33275,11,35663,2,3,4,9771,117,14
33691,8,34474,42688,67508,33431,33430,43807,33299,34471,33301,7489,119,7
44261,8,33290,33501,69888,33289,35276,38330,33357,35314,4,10205,120,41
62548,8,33290,34979,52907,33345,33604,33520,33521,35314,33523,861,126,46
33947,8,33290,37014,67786,33289,33430,34705,33316,34024,33317,7489,127,7
54481,34665,33290,38008,48327,33431,33291,37531,33283,40171,33285,9001,128,2
65277,8,33455,35612,64002,33431,33347,40859,33521,33730,33523,9000,129,47
72102,8,33313,33438,51661,33326,33347,34920,2,36494,4,6171,130,48
43996,8,33290,33866,38084,33431,33291,59031,33283,36150,33285,7489,131,7
77765,8,33290,36151,50471,33431,33291,42121,33283,33323,33285,7489,132,7
66077,8,33290,42721,63085,34576,33291,37748,33283,33300,33285,9001,133,2
36240,8,33290,36213,72112,33326,33362,37651,33357,36118,33359,7489,135,7
36473,8,33290,34857,48123,9,33678,44854,33299,33395,33301,7654,136,29
38779,8,33290,34102,45967,9,33430,48243,33299,33601,33428,2303,138,19
33691,8,33290,34752,36094,33431,33430,33741,33299,34471,33301,9001,140,2
7,8,33276,33279,42260,33275,11,35003,2,3,4,9811,141,10
36393,57482,33290,33775,58263,9,33291,49552,33283,33584,33285,7489,142,7
37080,8,40548,40011,77637,33289,33291,56198,33283,36494,33285,9001,143,2
36028,8,33313,49910,70486,33326,33604,36460,33299,33395,33301,9771,145,14
60934,8,33290,33667,41508,33431,33430,39227,33316,34024,33317,9001,146,2
47848,52868,33290,33718,53194,33326,33461,33858,33426,35335,33428,9667,147,4
33691,8,33290,34472,45033,33431,33430,33741,33299,34471,33301,9667,149,4
33464,8,33290,33302,45179,33431,33604,35164,33426,37013,33428,9001,150,2
65514,8,33290,37014,72682,33431,33430,46240,33316,34024,33285,7489,152,7
55754,8,34474,34472,51042,33345,33595,46032,33299,34471,33301,7489,153,7
43664,8,33290,37014,57553,9,33430,35158,33316,33385,33317,7489,154,7
34226,8,33313,39855,51444,33431,34851,35786,33426,40641,33428,7489,157,7
37592,8,33290,37014,42542,33431,33430,44139,33316,34024,33317,7489,160,7
42917,8,33290,42721,56710,33431,33291,40313,33283,33300,33285,9001,162,2
39516,8,33290,44332,52045,9,33526,53149,33521,34861,33523,10734,164,55
72244,8,33290,37014,49428,9,33430,49058,33316,33385,33317,9667,165,4
33336,8,33313,33438,70426,33275,11,53063,2,3,4,9771,166,14
52658,8,33290,34662,55105,33345,34577,65235,33283,33300,33285,9001,167,2
67429,8,34474,34472,45072,33431,33595,39698,33283,34471,33285,9001,172,2
37080,8,33290,33279,48037,33289,33423,54742,2,33300,33285,9001,173,2
54417,8,33290,33302,72513,9,33430,65404,33426,33675,33428,9667,176,4
33336,8,33313,33438,61138,33275,11,34763,2,3,4,9771,177,14
52258,8,33388,34480,75694,33289,33362,35264,33316,34256,33317,9667,178,4
47848,8,33313,33273,46555,34576,34851,33767,33283,33927,33285,9667,179,4
33489,8,33313,33438,52180,33275,11,35663,2,3,4,9771,180,14
48734,8,33290,34752,59572,33431,33362,62571,33416,33476,33418,7489,181,7
41849,8,33290,34910,36728,33431,33430,37556,33283,34471,33341,7489,182,7
58371,8,34474,34472,38000,33431,33461,40285,33299,34471,33301,7489,183,7
49986,8,33290,37014,75066,33431,33291,40235,33283,40171,33285,7489,184,7
49261,8,33290,36227,44092,33431,33423,35271,33357,33458,33359,9667,186,4
77741,8,33290,33302,77950,9,33604,50253,33357,34279,33359,7489,187,7
60017,8,34474,38458,55784,33431,33362,33444,33339,33358,33341,9001,189,2
45871,33421,33290,33798,74463,33431,33595,67917,33416,33529,33418,7489,190,7
33616,8,37028,33294,53339,33431,33423,75243,33339,33358,33341,7489,191,7
75964,8,33290,35260,38149,33431,33430,45509,33299,34471,33301,9001,193,2
59097,8,33290,54321,51075,33431,33291,35641,33283,33866,33285,7489,199,7
65330,8,33290,34472,42211,33431,34046,35512,33299,34471,33301,7489,201,7
67403,8,33904,33676,68463,33431,33423,34631,2,33853,4,7489,205,7
55472,8,33290,34472,46703,33431,34435,46032,33299,34471,33301,7489,206,7
34911,8,33290,34662,48794,33431,33291,38077,33283,33300,33285,7489,207,7
48913,40152,33290,36151,61464,33431,33526,34509,33416,34397,33523,9001,210,2
54057,8,33290,33530,43053,33431,33362,53189,33416,34279,33418,7489,211,7
51925,33288,33290,38008,57698,33431,33291,61115,33283,33323,33285,9001,212,2
33622,8,33290,33360,46512,33326,33604,37252,33357,33358,33359,9001,214,2
48561,8,33408,37239,70216,33309,33930,37294,2,33365,4,9667,215,4
36377,8,33313,36661,64105,9,37073,46514,33283,40641,4,7489,216,7
50537,70198,33290,33775,61081,9,33291,42804,33283,33323,33285,9001,218,2
64957,8,33290,36137,51464,33431,33423,49102,33283,33300,33285,7489,220,7
36850,44965,34913,39341,72580,33431,33291,51482,33283,36494,33285,9001,222,2
58104,34665,33313,33928,75378,33309,33291,37258,33283,35795,33285,9001,223,2
33336,8,33455,34200,68491,33431,33595,45509,33299,34471,33301,9811,224,10
72244,8,33290,37014,42272,34576,33430,41059,33316,33385,33317,9001,226,2
51477,36963,33290,33667,62350,33431,33291,34701,33283,34572,33285,9821,227,5
33336,8,33313,33279,69126,33275,11,35675,2,3,4,9771,231,14
44431,8,33290,33302,44716,9,33430,65404,33299,34471,33317,9001,232,2
33489,8,33313,33273,47482,33275,11,34294,2,3,4,9771,233,14
33991,40163,33290,33676,66141,9,33291,33510,33426,33927,33428,9001,235,2
33489,8,33313,33438,77673,33275,11,54567,2,3,4,9771,237,14
39805,8,33904,34251,49862,33289,11,37339,2,33529,4,9667,238,4
45245,8,33290,33279,64717,33326,33657,38308,2,33365,4,9400,239,66
33336,8,33313,33438,37152,33275,11,35510,2,3,4,9771,240,14
53193,8,33290,34381,55689,34576,33657,63840,33316,33385,33317,4678,243,68
34246,8,33313,33279,62889,33309,11,54567,2,3,4,9771,248,14
41849,8,33290,33477,61458,33431,33430,38001,33416,34397,33418,7489,249,7
59224,8,33313,33279,43346,33326,11,34300,2,3,4,9771,251,14
50921,8,33290,33676,45723,33289,33291,44864,33283,33927,33285,7489,252,7
34226,8,33290,38624,61372,33431,34851,64788,33426,40641,33428,9667,254,4
45133,34383,34474,33866,37370,33326,33430,34909,33299,34471,33301,7489,258,7
50028,33538,33290,36151,65224,33431,33291,43239,33283,33323,33285,9001,259,2
62827,8,33290,36137,40494,33289,34435,61115,2,33300,4,9001,260,2
36240,33288,34913,38008,53575,33431,33291,44551,33283,33885,33285,9001,261,2
38547,8,33904,39855,42565,33431,34851,38284,33426,37013,33285,9001,266,2
49574,8,33313,35132,71066,33431,34553,45509,2,44855,4,9001,267,2
46399,8,33290,36137,42836,34576,34613,37591,33283,33300,33285,9001,269,2
58972,8,33290,33485,71997,33289,33291,61007,33283,33323,33285,7489,271,7
33518,8,33290,33866,76952,9,33430,34288,33299,33601,33301,2303,272,19
48328,8,33904,36137,75727,34576,34577,36208,33283,33300,33285,9001,273,2
65947,8,33313,34398,33321,33431,33657,34893,33521,3,33523,5880,274,79
7,8,33313,33438,69928,33275,11,53063,2,3,4,9771,275,14
64038,8,33290,54321,67240,33431,33430,46240,33283,33447,33285,7489,278,7
69830,8,33408,33366,58542,33289,38385,72979,2,33365,4,9667,279,4
58434,8,33290,37014,68951,9,33291,36149,33316,33385,33317,7489,280,7
33622,8,33290,33302,76697,33431,33430,36261,33339,33529,33359,9001,281,2
74373,8,33904,34611,67597,33431,33291,64788,33426,33675,33285,7489,283,7
45268,8,33290,33477,75694,33431,33291,38487,33283,40641,33285,7489,285,7
37971,8,33290,37014,52691,33289,33430,48114,33316,33385,33317,7489,288,7
67403,8,33904,33467,43098,33431,34851,39731,2,33768,4,9771,289,14
77947,8,33290,40901,60812,33431,33291,49283,33283,36150,33285,7489,292,7
66656,33288,33290,54321,78170,33431,33291,39227,33283,36963,33285,9001,293,2
53626,8,33290,39171,59446,9,33430,38056,33426,33927,33428,9667,297,4
39688,8,33290,33477,69432,33431,33291,47908,33283,36150,33285,7489,299,7
75723,8,33290,33477,34155,33431,33291,42110,33426,36963,33428,7489,301,7
33622,8,33617,35260,41425,9,33430,56198,33426,33675,33428,2303,304,19
59429,8,34474,33598,77483,33431,33430,52605,33283,34471,33285,7489,305,7
55717,8,33290,40045,69665,9,34780,55001,33283,34411,33285,9001,307,2
33622,8,33290,35260,53985,33326,33430,40578,33299,34397,33301,7489,308,7
77153,8,33290,34611,60801,9,34851,38376,33283,33584,33285,9667,310,4
56243,8,33290,34480,68160,33431,39173,43234,34046,33300,33285,9667,311,4
72003,36570,33290,39855,56706,33431,34851,52605,33283,36494,33285,9001,313,2
42518,8,33290,37014,63394,9,33430,50317,33316,34024,33317,9667,315,4
57799,54177,34474,33477,72008,33345,34577,41388,33283,36927,33285,9001,317,2
60750,8,33290,34472,52634,33431,33430,58605,33283,36150,33285,7489,318,7
43169,36570,33290,39855,71832,33431,34851,35062,33283,34572,33285,9001,319,2
37620,8,33290,38458,57139,33431,33461,39552,33299,34471,33301,9001,322,2
76803,33751,33290,35112,34112,9,33461,69485,33283,35795,33285,7489,325,7
33336,8,33313,33307,45052,33275,11,33630,2,3,4,9001,326,2
37479,8,33290,47021,75541,33431,33430,49601,33347,33458,33502,6171,327,48
36214,8,33844,33928,38908,33309,33930,35555,33426,33927,33428,9667,330,4
33336,8,33313,33438,72736,33275,11,35675,2,3,4,9771,332,14
33336,8,33313,33279,40827,33275,11,35510,2,3,4,9771,334,14
34896,51484,33290,34408,57782,34576,34851,41760,33283,34572,33285,9667,338,4
33478,35798,33290,36151,61915,33431,33430,34214,33357,33458,33359,7489,340,7
36093,8,33290,33485,59840,34576,33270,34104,33521,33584,33359,9001,342,2
75566,8,33290,33302,65431,9,33430,43239,33316,41152,33317,9667,343,4
60450,8,33290,34673,68893,33289,33450,40595,33316,34024,33317,7489,344,7
68552,8,34474,33866,37809,33431,33430,45138,33299,34471,33301,9771,345,14
59097,8,33290,37014,67842,9,33430,40595,33316,34024,33317,9001,348,2
41577,33288,33290,33477,63180,33431,33430,35689,33283,33584,33285,9001,349,2
42662,8,33290,54321,57193,33431,33291,44325,33283,33666,33285,7489,350,7
38949,8,33290,35551,55195,33431,34851,35786,33283,35227,33285,7489,354,7
36521,33777,33290,33775,67009,33431,33291,40151,33283,33323,33285,9001,357,2
69633,8,33290,39309,47089,9,33595,36014,33299,36226,33301,9667,358,4
50087,8,33290,39584,58726,33345,33430,47964,33357,33358,33359,9667,359,4
56683,33777,33290,34412,34422,9,33291,42927,33283,33323,33285,7489,361,7
72542,8,34913,39855,53096,33431,34851,45695,33283,40641,33285,9001,363,2
33336,8,33313,33307,65916,33275,11,33825,2,3,4,9771,364,14
65825,8,33290,34102,70053,9,33430,37708,33299,34471,33301,9667,365,4
48198,8,33290,34047,60885,33345,34046,48548,34046,34047,34048,9813,366,37
61842,8,33290,48624,49375,34576,34577,34571,33283,33885,33285,9813,367,37
77153,8,33313,34611,68660,33431,34851,59160,2,3,4,9001,368,2
75929,33538,33290,33667,62835,33431,33291,52107,33283,33323,33285,9001,371,2
48451,8,33313,34472,67280,33431,33291,35445,2,33584,4,9771,372,14
33867,8,33290,34102,54046,33289,33430,68773,33426,33621,33428,9667,373,4
37080,8,33290,45062,48408,33289,33739,38487,33283,33300,33285,9001,375,2
33622,8,33290,34381,73437,9,33604,33510,33357,33625,33359,7489,376,7
53860,8,33290,33350,66998,33431,33423,34742,33283,33885,33285,9001,378,2
53486,8,33290,33775,46141,33431,33291,49102,33283,40171,33285,9001,379,2
37620,8,33290,33477,48111,33431,33291,47378,33416,33476,33418,7489,380,7
75249,8,34474,34472,53381,33345,33461,42661,33299,34397,33301,9001,381,2
76667,8,33904,33366,66998,33309,33423,33282,2,35227,4,7489,382,7
58193,8,34210,33324,58744,33431,33291,49032,33283,33300,33285,9001,385,2
36214,8,33844,33928,54384,33289,43709,38301,33521,33927,33301,9723,388,27
33336,8,33313,33438,58153,33275,11,51439,2,3,4,9771,389,14
39580,8,35275,37043,54673,33431,35276,46788,33339,35272,33341,9001,391,2
7,8,33313,33438,60794,33275,11,53063,2,3,4,9771,393,14
77741,8,33290,34752,40905,33431,33430,49058,33283,34397,33418,7489,395,7
63013,8,33290,54321,34325,33431,33430,42553,33283,34471,33317,7489,397,7
44032,33777,33290,33775,69972,33431,33930,33452,33283,33323,33285,7489,398,7
52258,8,33290,35835,69790,33289,33678,33786,33316,33385,33317,9667,399,4
34004,8,33904,33769,58865,33289,33712,64761,2,33768,4,9001,401,2
33336,8,33313,33273,63031,33275,11,53063,2,3,4,9771,403,14
33336,8,33313,33273,52121,33275,11,33816,2,3,4,9771,404,14
33537,8,33290,35920,66863,33326,11,49288,2,33265,4,5721,405,101
52296,8,33369,34556,65403,9,33657,37312,2,34256,4,9667,407,4
58119,8,33290,34662,44522,33289,33291,52762,33283,33300,33285,7489,412,7
58496,8,33290,47021,59668,33431,33370,44437,33339,33768,33523,6318,413,104
53178,8,33290,42721,43670,33289,34435,34955,33283,33300,33285,7489,414,7
33489,8,33290,37014,42096,9,33430,38133,33316,34024,33317,9667,415,4
39463,8,33290,37961,76450,33431,33430,69278,33283,33447,33285,7489,417,7
60704,8,34474,33593,74707,33345,33362,34729,33299,34471,33301,7489,420,7
71348,8,33290,53222,50034,33345,33526,48843,33521,67188,33523,2303,421,19
52258,8,33290,35835,52842,33289,33678,35142,33316,33385,33317,9667,422,4
61373,8,35275,33477,56706,33431,33423,38495,2,33447,4,7489,423,7
66268,8,33296,34408,65450,33345,33678,45234,2,33385,4,2663,424,106
33518,35217,35218,35215,46503,33289,33657,37666,33283,35215,33301,9773,427,43
34612,8,33290,37014,48464,33289,33430,59147,33316,34024,33317,7489,429,7
33691,8,33290,33448,70901,33431,33430,41869,33283,33447,33285,9001,430,2
49443,33421,33904,33798,68845,33289,33595,51068,33416,33529,33418,2303,431,19
33518,8,33290,34102,35841,9,33430,42368,33299,33601,33301,9667,434,4
75216,8,33904,35314,36663,33309,33604,39791,2,33768,33341,9331,435,108
64957,8,33290,45499,39417,33431,33430,42846,33299,34471,33301,9001,436,2
44147,8,33276,35336,71774,33289,33930,48514,2,3,4,8090,438,110
59299,8,34913,35963,55401,9,38255,36023,33339,34566,33341,7489,440,7
33518,8,33290,34025,38771,33431,33430,36234,33316,35427,33317,9729,441,33
54009,8,33290,37824,59104,33431,33604,34274,33339,35884,33341,10234,442,111
33336,8,33313,33438,67421,33275,11,54567,2,3,4,9771,448,14
52725,8,33290,37014,69642,33431,33430,58154,33316,33385,33317,9001,449,2
39688,8,33290,45499,60240,33431,33430,34729,33339,34471,33301,7489,450,7
35682,8,33290,35410,44116,33431,42967,46891,33283,33427,33285,9001,451,2
33691,8,34493,35398,48182,33345,34577,46148,33283,33447,33285,9667,452,4
71879,8,33904,33667,74991,33431,33291,47662,33283,33666,33285,9001,453,2
73952,8,33290,37995,76512,33326,34545,39910,33299,33447,33301,7489,454,7
39657,8,33290,38881,60337,33289,33678,38376,33426,33927,33428,9667,457,4
72244,8,33290,34483,65588,33431,34780,54742,33316,40171,33317,9667,463,4
33518,8,34474,33812,70923,33326,33430,37093,33299,34471,33301,7489,465,7
65003,8,33290,33302,40706,33431,33526,76366,33357,33458,33523,7489,468,7
63976,33421,33290,33798,50538,33289,33461,36354,33416,33529,33418,7489,470,7
34269,8,34474,33273,77795,33431,34242,39704,33283,36150,33285,7489,474,7
48294,33751,33290,33530,75385,33431,33604,44695,33416,33529,33418,7489,477,7
33518,8,33290,33302,56024,9,33362,34672,33416,33476,33359,7489,479,7
49555,8,33313,33273,41440,33431,34851,36646,33283,33584,4,9001,481,2
69212,8,33290,54321,61481,33431,33430,59977,33299,34397,33285,7489,482,7
37158,8,33290,37014,58377,33289,33430,34877,33316,34024,33317,7489,485,7
34390,8,33290,33429,77441,33431,33526,45888,33521,33689,33418,6864,486,118
34911,8,33290,36137,57874,33289,33712,47059,33283,33300,33285,9001,487,2
33518,8,33290,34752,63031,33431,33430,43202,33283,33895,33301,7489,491,7
57507,8,33290,35410,58044,9,34780,34479,33283,33885,33285,7489,492,7
40049,40163,33388,37550,61520,9,33461,46891,33283,33323,33285,9001,493,2
48183,8,33290,36137,46087,33289,33291,56198,33283,33300,33285,9001,494,2
48275,8,34210,42721,73566,33289,33291,45905,2,33300,4,9001,495,2
33478,8,33290,33477,41438,33431,33430,41869,33299,34471,33301,7489,497,7
34226,8,33313,33467,57984,33289,34851,35065,33426,33927,33428,9771,498,14
56509,8,33290,34222,63178,33345,33423,33349,33426,35427,33428,9667,500,4
40144,8,33313,33438,46776,33275,11,36413,2,3,4,9771,502,14
73797,33777,33290,33775,53645,33431,33291,37811,33283,33323,33285,9001,506,2
36214,8,33844,33928,48123,33309,33930,36006,33426,33927,33428,7489,510,7
39729,8,33290,33775,66141,33289,33291,65869,33283,34572,33285,9001,515,2
33336,8,33313,33438,63495,33275,11,53063,2,3,4,9771,517,14
33691,8,33290,33448,36229,33431,33430,39227,33299,34397,33301,9001,519,2
61373,8,33290,37014,38149,33431,33430,74279,33316,34024,33317,7489,520,7
33336,8,33313,33438,62141,33275,11,35663,2,3,4,9771,521,14
63338,8,34474,34472,77719,33431,34242,46032,33299,34471,33301,7489,523,7
52972,8,33313,33690,67704,9,33657,72208,33316,35027,4,2591,524,126
39580,8,33290,33302,56498,9,33461,38500,33357,33323,33285,7489,525,7
33336,8,33313,33279,44112,33275,11,34260,2,3,4,9771,528,14
42805,8,33290,35018,53658,33431,33347,49802,33347,33768,33502,9771,530,14
45595,8,33313,33279,67597,33326,34851,64788,2,3,4,9001,532,2
45133,8,33290,35612,61945,9,33423,35065,33426,36494,33428,7489,535,7
40146,8,33290,33676,59543,33431,33863,33979,33416,34327,33418,9971,536,76
57974,8,33290,35260,61405,9,33362,36639,33357,33358,33359,7489,539,7
73504,8,33290,34412,37333,33289,37073,42383,33426,34411,33428,7489,540,7
33518,8,33290,34793,47397,9,33430,38301,33316,34024,33317,7685,545,24
77661,34665,33290,36556,53985,33431,34577,34407,33283,33584,33285,9667,547,4
33677,8,33290,33676,40252,33431,33423,44036,33426,33853,33285,7489,548,7
36978,8,33290,33787,66728,34576,33678,38056,33426,33675,33428,9667,549,4
51925,34665,33290,35410,58528,33345,34242,38782,33283,33885,33285,9001,550,2
44566,35227,33290,33798,76162,33289,33423,56198,33416,33529,33418,9771,551,14
37142,33288,33290,33286,38452,33431,33291,52107,33283,33284,33285,9001,552,2
40456,8,33290,33477,76566,33431,33430,43202,33316,34397,33285,7489,553,7
33336,8,33313,33438,44047,33275,11,34324,2,3,4,9771,555,14
37158,8,33290,37014,64381,33431,33430,38062,33316,33927,33317,9001,556,2
41631,59955,34913,47909,67159,33431,33461,34030,33283,33885,33285,7489,557,7
33711,36228,33290,33798,42133,33289,33595,46133,33416,33529,33418,7489,558,7
62410,8,33290,37043,38778,33431,33604,44610,33299,33476,33341,9001,561,2
46005,8,33290,37709,58725,33431,33291,40235,33283,40171,33285,7489,563,7
62827,8,34474,34472,43827,33431,33595,34321,33339,33885,33285,7489,566,7
54893,8,33290,33324,74548,33431,33291,45239,33339,35795,33285,9001,570,2
39352,8,33290,35228,77857,33431,33423,56674,33283,33323,33285,7489,572,7
40254,33288,33408,40011,52862,33431,33291,40159,33283,33284,33285,9001,573,2
49458,8,33290,37014,69126,33431,33863,46240,33316,34024,33317,9001,574,2
55284,8,33290,37014,67707,9,33430,36265,33316,34024,33317,9001,575,2
33947,8,33290,34673,42798,9,33430,54432,33316,34024,33317,9667,576,4
34226,8,33290,34573,35049,9,33291,33548,33283,34572,33285,9001,577,2
33518,34912,33388,45530,63054,33289,33430,34271,33283,33323,33285,9204,578,44
33518,8,33290,34793,61090,34576,33430,36562,33299,33601,33301,2303,579,19
33947,8,33290,37014,72478,9,33430,40235,33316,34024,33317,7489,580,7
70401,34383,33313,38008,50788,33431,33291,37653,33283,33885,33285,9001,582,2
63836,8,33388,35916,73411,33309,33678,52655,2,34181,33359,5868,585,137
33947,8,33290,34673,67282,33289,33430,45293,33316,34024,33317,9667,586,4
34226,8,33290,39855,41668,9,34851,49318,33283,40641,33285,9001,591,2
33478,8,33290,33360,71856,33326,33604,53401,33357,33358,33359,9001,592,2
36521,44965,40548,39341,53675,33431,33291,37481,33283,36494,33285,9001,595,2
54743,8,33290,33302,56242,33431,33423,49552,33357,48274,33359,7489,596,7
75134,8,33369,33769,71551,33289,33291,64761,2,33300,4,9001,597,2
33518,8,33290,34793,57737,9,33430,36974,33299,33601,33301,2303,599,19
44534,33288,33290,35228,63955,33289,33291,33282,33283,34411,33285,9667,602,4
58371,8,34474,34472,52981,33431,33423,37093,33299,34471,33301,7489,606,7
36843,8,33290,36490,49088,33431,33461,43948,33283,33895,33285,7489,607,7
38230,8,33904,33769,52412,33431,33291,40296,2,33300,33285,9001,609,2
46399,36228,34210,33798,50110,33289,33291,34955,33416,35227,33418,7489,610,7
63013,8,33290,33861,43387,9,33863,35220,33299,33395,33301,11317,612,141
33489,8,33313,33438,50297,33275,11,33640,2,3,4,9771,613,14
33691,8,33290,35132,40065,33431,33430,47378,33339,33323,33341,7489,618,7
33518,35217,33388,35215,44271,33289,33430,34482,33283,33284,33285,9729,619,33
70825,8,33290,37424,45659,33289,33739,50917,33283,33300,33285,9771,620,14
44431,8,33290,33302,40707,9,33291,35774,33416,33584,33418,7489,622,7
68648,8,33290,37014,43313,33289,33430,57871,33316,34024,33317,9667,624,4
74523,8,33290,35625,72075,33431,33430,46240,33316,34024,33317,9001,626,2
76670,8,33276,33438,75378,9,34851,39227,33283,35227,33285,9667,627,4
55203,35798,33290,36213,35370,9,33423,1,33299,34471,33301,9001,629,2
40049,36963,33290,33667,57139,33431,33291,34218,33283,33323,33285,9001,631,2
34532,8,34474,38458,56511,33345,33362,37072,33339,34397,33341,9001,632,2
50028,40163,33290,33775,58741,33431,33291,36453,33283,33323,33285,7489,635,7
